Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm
ctettelbach, Blank, no dye, 0.0000, Blank, -0.0005, 0.0000, -0.0000
ctettelbach, BaySTD2, no dye, 0.0000, Measurement 1, 0.0613, 0.0437, 0.1171
ctettelbach, T16-719-1, no dye, 0.0000, Measurement 1, 0.0515, 0.0397, 0.1152
ctettelbach, T16-719-2, no dye, 0.0000, Measurement 1, 0.0512, 0.0398, 0.1151
ctettelbach, T12-708-1, no dye, 0.0000, Measurement 1, 0.0563, 0.0420, 0.1168
ctettelbach, T12-708-2, no dye, 0.0000, Measurement 1, 0.0564, 0.0423, 0.1167
ctettelbach, T6-708-1, no dye, 0.0000, Measurement 1, 0.0624, 0.0466, 0.1200
ctettelbach, T6-708-2, no dye, 0.0000, Measurement 1, 0.0614, 0.0458, 0.1195
ctettelbach, T20-708-1, no dye, 0.0000, Measurement 1, 0.0602, 0.0446, 0.1183
ctettelbach, T20-708-2, no dye, 0.0000, Measurement 1, 0.0618, 0.0457, 0.1194
ctettelbach, BaySTD2, m-cresol added, 0.0000, Measurement 2, 0.6310, 0.8060, 0.1173
ctettelbach, T16-719-1, m-cresol added, 0.0000, Measurement 2, 0.6570, 0.7166, 0.1148
ctettelbach, T16-719-2, m-cresol added, 0.0000, Measurement 2, 0.6571, 0.7149, 0.1145
ctettelbach, T12-708-1, m-cresol added, 0.0000, Measurement 2, 0.5006, 1.1481, 0.1159
ctettelbach, T12-708-2, m-cresol added, 0.0000, Measurement 2, 0.4920, 1.1311, 0.1154
ctettelbach, T6-708-1, m-cresol added, 0.0000, Measurement 2, 0.5487, 1.0013, 0.1176
ctettelbach, T6-708-2, m-cresol added, 0.0000, Measurement 2, 0.5517, 0.9929, 0.1171
ctettelbach, T20-708-1, m-cresol added, 0.0000, Measurement 2, 0.6259, 0.8053, 0.1167
ctettelbach, T20-708-2, m-cresol added, 0.0000, Measurement 2, 0.6214, 0.8037, 0.1169
