Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm
CTETTELBACH, Blank, no dye, 0.0000, Blank, 0.0001, 0.0000, 0.0000
CTETTELBACH, BAYSTD1, no dye, 0.0000, Measurement 1, 0.0605, 0.0477, 0.1211
CTETTELBACH, H2-702-1, no dye, 0.0000, Measurement 1, 0.0503, 0.0407, 0.1152
CTETTELBACH, H2-702-2, no dye, 0.0000, Measurement 1, 0.0471, 0.0390, 0.1141
CTETTELBACH, H2-702-3, no dye, 0.0000, Measurement 1, 0.0482, 0.0398, 0.1147
CTETTELBACH, H3-702-1, no dye, 0.0000, Measurement 1, 0.0476, 0.0395, 0.1147
CTETTELBACH, H3-702-2, no dye, 0.0000, Measurement 1, 0.0473, 0.0389, 0.1142
CTETTELBACH, H3-702-3, no dye, 0.0000, Measurement 1, 0.0480, 0.0397, 0.1147
CTETTELBACH, H2-719-1, no dye, 0.0000, Measurement 1, 0.0505, 0.0408, 0.1154
CTETTELBACH, H2-719-2, no dye, 0.0000, Measurement 1, 0.0478, 0.0389, 0.1138
CTETTELBACH, BAYSTD1, m-cresol added, 0.0000, Measurement 2, 0.6265, 0.6890, 0.1178
CTETTELBACH, H2-702-1, m-cresol added, 0.0000, Measurement 2, 0.7439, 0.4179, 0.1132
CTETTELBACH, H2-702-2, m-cresol added, 0.0000, Measurement 2, 0.7607, 0.4227, 0.1127
CTETTELBACH, H2-702-3, m-cresol added, 0.0000, Measurement 2, 0.7851, 0.3723, 0.1132
CTETTELBACH, H3-702-1, m-cresol added, 0.0000, Measurement 2, 0.6752, 0.6429, 0.1123
CTETTELBACH, H3-702-2, m-cresol added, 0.0000, Measurement 2, 0.6768, 0.6472, 0.1121
CTETTELBACH, H3-702-3, m-cresol added, 0.0000, Measurement 2, 0.6775, 0.6481, 0.1129
CTETTELBACH, H2-719-1, m-cresol added, 0.0000, Measurement 2, 0.6906, 0.6020, 0.1130
CTETTELBACH, H2-719-2, m-cresol added, 0.0000, Measurement 2, 0.7023, 0.5713, 0.1123
