"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"RHartnett"," Blank"," no dye",0," Blank",0,1e-04,1e-04,0,NA,NA,NA,NA,NA,NA,NA,NA
"RHartnett"," DIC-11-10-2020"," no dye",0," Replicate 1",0.0376,0.0378,0.1136,0,35,25,2.51727272727273,2.53687585454545,8.12954058796909,8.12954058796909,8.13351970473695,8.13351970473695
"RHartnett"," DIC-11-10-2020"," m-cresol added",0," Replicate 3",0.4789,1.1467,0.1149,80,35,25,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0078-1"," no dye",0," Replicate 1",0.0861,0.0666,0.134,0,30.2,14,1.05364468286526,1.05603554433575,7.87714994459093,7.71709870984362,7.87820718412478,7.71815594937747
"RHartnett"," P-0078-1"," m-cresol added",0," Replicate 3",0.7214,0.7359,0.1355,80,30.2,14,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0078-2"," no dye",0," Replicate 1",0.0858,0.0666,0.1336,0,30.2,14,1.0468144473725,1.0491249852736,7.87411715072672,7.71406591597941,7.87514516229831,7.715093927551
"RHartnett"," P-0078-2"," m-cresol added",0," Replicate 3",0.7316,0.7426,0.1343,80,30.2,14,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0078-3"," no dye",0," Replicate 1",0.0853,0.0665,0.1337,0,30.2,14,1.05381649961449,1.05620938164996,7.87722599710196,7.71717476235465,7.87828396734116,7.71823273259385
"RHartnett"," P-0078-3"," m-cresol added",0," Replicate 3",0.7351,0.7512,0.135,80,30.2,14,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0078-4"," no dye",0," Replicate 1",0.0847,0.0655,0.1329,0,30.2,14,1.04991257351772,1.05225954538229,7.87549509235521,7.71544385760791,7.87653640517092,7.71648517042361
"RHartnett"," P-0078-4"," m-cresol added",0," Replicate 3",0.7196,0.7318,0.1387,80,30.2,14,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0078-5"," no dye",0," Replicate 1",0.0844,0.0658,0.1336,0,30.2,14,1.05259822560203,1.05497678073511,7.87668649184255,7.71663525709524,7.87773927620717,7.71768804145986
"RHartnett"," P-0078-5"," m-cresol added",0," Replicate 3",0.7185,0.7331,0.1365,80,30.2,14,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0078-6"," no dye",0," Replicate 1",0.0842,0.0657,0.133,0,30.2,14,1.05259051186017,1.05496897627965,7.87668307399056,7.71663183924326,7.87773582548432,7.71768459073701
"RHartnett"," P-0078-6"," m-cresol added",0," Replicate 3",0.7286,0.7438,0.1366,80,30.2,14,NA,NA,NA,NA,NA,NA
"RHartnett"," P-0078-7"," no dye",0," Replicate 1",0.0828,0.0642,0.1319,0,30.2,14,1.05278128950695,1.05516199747155,7.8767675980151,7.71671636326779,7.87782116234569,7.71776992759839
"RHartnett"," P-0078-7"," m-cresol added",0," Replicate 3",0.7211,0.7359,0.1374,80,30.2,14,NA,NA,NA,NA,NA,NA
