Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm
CH, Blank, no dye,0, Blank,0,0,0
CH, P-0023-C1-P1-D, no dye,0, Replicate 1,0.0512,0.0402,0.1147
CH, P-0023-C1-P2-1, no dye,0, Replicate 1,0.0615,0.0472,0.1202
CH, P-0023-C1-P3-3, no dye,0, Replicate 1,0.0675,0.0516,0.1234
CH, B-0041-C1-P1-2, no dye,0, Replicate 1,0.0541,0.04,0.1144
CH, B-0041-C1-P2-4, no dye,0, Replicate 1,0.0599,0.0446,0.1174
CH, B-0041-C1-P3-G, no dye,0, Replicate 1,0.072,0.0537,0.1254
CH, P-0034-C1-P1-B, no dye,0, Replicate 1,0.0563,0.0413,0.1155
CH, P-0034-C1-P2-C, no dye,0, Replicate 1,0.0727,0.0541,0.1251
CH, P-0034-C1-P3-E, no dye,0, Replicate 1,0.117,0.0922,0.1505
CH, P-0023-C1-P1-D, m-cresol added,0, Replicate 2,0.3309,0.4069,0.1148
CH, P-0023-C1-P2-1, m-cresol added,0, Replicate 2,0.373,0.4487,0.1276
CH, P-0023-C1-P3-3, m-cresol added,0, Replicate 2,0.3697,0.447,0.1286
CH, B-0041-C1-P1-2, m-cresol added,0, Replicate 2,0.3415,0.4697,0.114
CH, B-0041-C1-P2-4, m-cresol added,0, Replicate 2,0.3513,0.4777,0.1188
CH, B-0041-C1-P3-G, m-cresol added,0, Replicate 2,0.3747,0.4967,0.1339
CH, P-0034-C1-P1-B, m-cresol added,0, Replicate 2,0.3664,0.4232,0.1145
CH, P-0034-C1-P2-C, m-cresol added,0, Replicate 2,0.3941,0.4423,0.1354
CH, P-0034-C1-P3-E, m-cresol added,0, Replicate 2,0.4456,0.4801,0.1764
CH, P-0023-C1-P1-D, m-cresol added,0, Replicate 3,0.6437,0.8144,0.1137
CH, P-0023-C1-P2-1, m-cresol added,0, Replicate 3,0.6753,0.8438,0.1264
CH, P-0023-C1-P3-3, m-cresol added,0, Replicate 3,0.6772,0.8421,0.1305
CH, B-0041-C1-P1-2, m-cresol added,0, Replicate 3,0.6238,0.892,0.1136
CH, B-0041-C1-P2-4, m-cresol added,0, Replicate 3,0.6245,0.8874,0.1181
CH, B-0041-C1-P3-G, m-cresol added,0, Replicate 3,0.653,0.9117,0.1364
CH, P-0034-C1-P1-B, m-cresol added,0, Replicate 3,0.6645,0.7875,0.1136
CH, P-0034-C1-P2-C, m-cresol added,0, Replicate 3,0.693,0.8104,0.1333
CH, P-0034-C1-P3-E, m-cresol added,0, Replicate 3,0.7451,0.8512,0.1678
