Titration Data Only,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,
,Time,,,,Meas. value,,,,,,Temp.,,,,dE,,,
,[s],,,,[mV],,,,,,[°C],,,,[mV],,,
,1,,,,-75.4,,,,,,18.4,,,,,,,
,2,,,,-75.5,,,,,,18.4,,,,-0.1,,,
,3,,,,-75.5,,,,,,18.4,,,,0,,,
,4,,,,-75.5,,,,,,18.4,,,,0,,,
,5,,,,-75.6,,,,,,18.4,,,,-0.1,,,
,6,,,,-75.6,,,,,,18.4,,,,0,,,
,7,,,,-75.7,,,,,,18.4,,,,-0.1,,,
,8,,,,-75.7,,,,,,18.4,,,,0,,,
,9,,,,-75.7,,,,,,18.4,,,,0,,,
,10,,,,-75.8,,,,,,18.4,,,,-0.1,,,
,11,,,,-75.8,,,,,,18.4,,,,0,,,
,12,,,,-75.8,,,,,,18.4,,,,0,,,
,13,,,,-75.8,,,,,,18.4,,,,0,,,
,14,,,,-75.8,,,,,,18.4,,,,0,,,
Titration (EP) [1],,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,,dV,,,Temp.,,dE,,,,EP
,[s],[mL],,,,[mV],,,[mL],,,[°C],,[mV],,,,
,0,0,,,,-76.1,,,,,,18.4,,,,,,
,1,0.001,,,,-76.2,,,0.001,,,18.4,,-0.1,,,,
,2,0.005,,,,-76.2,,,0.004,,,18.4,,0,,,,
,3,0.011,,,,-76,,,0.006,,,18.4,,0.2,,,,
,4,0.0195,,,,-75.4,,,0.0085,,,18.4,,0.6,,,,
,5,0.0335,,,,-74.1,,,0.014,,,18.4,,1.3,,,,
,6,0.0535,,,,-71.4,,,0.02,,,18.4,,2.7,,,,
,7,0.077,,,,-67.7,,,0.0235,,,18.4,,3.7,,,,
,8,0.11,,,,-61.5,,,0.033,,,18.4,,6.2,,,,
,9,0.1505,,,,-52.1,,,0.0405,,,18.4,,9.4,,,,
,10,0.2,,,,-40.4,,,0.0495,,,18.4,,11.7,,,,
,11,0.2615,,,,-26.7,,,0.0615,,,18.4,,13.7,,,,
,12,0.334,,,,-11.7,,,0.0725,,,18.4,,15,,,,
,13,0.41,,,,4.2,,,0.076,,,18.4,,15.9,,,,
,14,0.5075,,,,27,,,0.0975,,,18.4,,22.8,,,,
,15,0.6155,,,,57.1,,,0.108,,,18.4,,30.1,,,,
,16,0.7375,,,,92.2,,,0.122,,,18.4,,35.1,,,,
,17,0.751,,,,122.4,,,0.0135,,,18.4,,30.2,,,,
,18,0.7515,,,,130.9,,,0.0005,,,18.4,,8.5,,,,
,19,0.7535,,,,134.8,,,0.002,,,18.4,,3.9,,,,
,20,0.7565,,,,137.8,,,0.003,,,18.4,,3,,,,
,21,0.7605,,,,140.6,,,0.004,,,18.4,,2.8,,,,
,22,0.7665,,,,143.6,,,0.006,,,18.4,,3,,,,
,23,0.7745,,,,147,,,0.008,,,18.4,,3.4,,,,
,24,0.783,,,,151,,,0.0085,,,18.4,,4,,,,
,25,0.791,,,,154.9,,,0.008,,,18.4,,3.9,,,,
,26,0.797,,,,158.4,,,0.006,,,18.5,,3.5,,,,
,27,0.801,,,,161.3,,,0.004,,,18.5,,2.9,,,,
,28,0.8045,,,,163,,,0.0035,,,18.5,,1.7,,,,
,29,0.8085,,,,164.5,,,0.004,,,18.5,,1.5,,,,
,30,0.8135,,,,166.2,,,0.005,,,18.5,,1.7,,,,
,31,0.8185,,,,167.9,,,0.005,,,18.5,,1.7,,,,
,32,0.824,,,,170,,,0.0055,,,18.5,,2.1,,,,
,33,0.827,,,,171.6,,,0.003,,,18.5,,1.6,,,,
,34,0.8295,,,,172.5,,,0.0025,,,18.5,,0.9,,,,
,35,0.8325,,,,173.3,,,0.003,,,18.5,,0.8,,,,
,36,0.8365,,,,174.1,,,0.004,,,18.5,,0.8,,,,
,37,0.8405,,,,175.2,,,0.004,,,18.5,,1.1,,,,
,38,0.8445,,,,176.4,,,0.004,,,18.5,,1.2,,,,
,39,0.847,,,,177.4,,,0.0025,,,18.5,,1,,,,
,40,0.8495,,,,177.9,,,0.0025,,,18.5,,0.5,,,,
,41,0.852,,,,178.4,,,0.0025,,,18.5,,0.5,,,,
,42,0.8545,,,,179.1,,,0.0025,,,18.5,,0.7,,,,
,43,0.857,,,,179.7,,,0.0025,,,18.5,,0.6,,,,
,44,0.8595,,,,180.2,,,0.0025,,,18.5,,0.5,,,,
,45,0.862,,,,180.8,,,0.0025,,,18.5,,0.6,,,,
,46,0.863,,,,181.2,,,0.001,,,18.5,,0.4,,,,
,47,0.864,,,,181.5,,,0.001,,,18.5,,0.3,,,,
,48,0.866,,,,181.6,,,0.002,,,18.5,,0.1,,,,
,49,0.868,,,,182.1,,,0.002,,,18.5,,0.5,,,,
,50,0.868,,,,182.3,,,0,,,18.5,,0.2,,,,
,51,0.8695,,,,182.4,,,0.0015,,,18.5,,0.1,,,,
,52,0.8725,,,,182.7,,,0.003,,,18.5,,0.3,,,,
,,0.872875,,,,183,,,,,,,,,,,,EP
,53,0.873,,,,183.1,,,0.0005,,,18.5,,0.4,,,,
,54,0.873,,,,183.2,,,0,,,18.5,,0.1,,,,
,55,0.873,,,,183.2,,,0,,,18.5,,0,,,,
,56,0.873,,,,183.2,,,0,,,18.5,,0,,,,
Titration (EQP) [2],,,,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,
Measured Values,,,,"Scope 1/1, Sample 1/13",,,,,,,,,,,,,,
,Time,V,,,,Meas. value,,dV,,,,Temp.,,,,dE,,
,[s],[mL],,,,[mV],,[mL],,,,[°C],,,,[mV],,
,0,0,,,,155.9,,,,,,18.8,,,,,,
,3,0.02,,,,163.2,,0.02,,,,18.9,,,,7.3,,
,6,0.04,,,,170.9,,0.02,,,,18.9,,,,7.7,,
,9,0.06,,,,177.1,,0.02,,,,18.9,,,,6.2,,
,12,0.08,,,,182.3,,0.02,,,,18.9,,,,5.2,,
,15,0.1,,,,186.6,,0.02,,,,18.9,,,,4.3,,
,18,0.12,,,,190.3,,0.02,,,,18.9,,,,3.7,,
,21,0.14,,,,193.5,,0.02,,,,18.9,,,,3.2,,
,24,0.16,,,,196.2,,0.02,,,,18.9,,,,2.7,,
,27,0.18,,,,198.5,,0.02,,,,18.9,,,,2.3,,
,30,0.2,,,,200.6,,0.02,,,,18.9,,,,2.1,,
,33,0.22,,,,202.7,,0.02,,,,18.9,,,,2.1,,
,36,0.24,,,,204.7,,0.02,,,,18.9,,,,2,,
,39,0.26,,,,206.5,,0.02,,,,18.9,,,,1.8,,
,42,0.28,,,,208.2,,0.02,,,,18.9,,,,1.7,,
,45,0.3,,,,209.8,,0.02,,,,18.9,,,,1.6,,
,48,0.32,,,,211.3,,0.02,,,,18.9,,,,1.5,,
,51,0.34,,,,212.7,,0.02,,,,18.9,,,,1.4,,
,54,0.36,,,,213.9,,0.02,,,,18.9,,,,1.2,,
,57,0.38,,,,215,,0.02,,,,18.9,,,,1.1,,
,60,0.4,,,,216.2,,0.02,,,,18.9,,,,1.2,,
,64,0.42,,,,217.3,,0.02,,,,18.9,,,,1.1,,
,66,0.44,,,,218.4,,0.02,,,,18.9,,,,1.1,,
