"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"RH&MJ"," Blank"," no dye","0"," Blank",3e-04,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"RH&MJ"," DIC-CRM186-1-1"," no dye","0"," Measurement 1",0.0368,0.0368,0.1135,0,33.525,25,2.32030237580994,2.33758913174946,8.09117323019337,8.09117323019337,8.09492903555218,8.09492903555218
"RH&MJ"," DIC-CRM186-1-1"," m-cresol added","0"," Measurement 2",0.4971,1.1084,0.1108,80,33.525,25,NA,NA,NA,NA,NA,NA
"RH&MJ"," DIC-CRM186-2-2"," no dye","0"," Measurement 1",0.0354,0.0361,0.113,0,33.525,25,2.3072038537333,2.32433657105321,8.08831166973121,8.08831166973121,8.09205181900043,8.09205181900043
"RH&MJ"," DIC-CRM186-2-2"," m-cresol added","0"," Measurement 2",0.4891,1.0868,0.11,80,33.525,25,NA,NA,NA,NA,NA,NA
"RH&MJ"," DIC-CRM186-3-3"," no dye","0"," Measurement 1",0.0354,0.0358,0.1127,0,33.525,25,2.30429128738622,2.32138975292588,8.08767351856281,8.08767351856281,8.09141017150233,8.09141017150233
"RH&MJ"," DIC-CRM186-3-3"," m-cresol added","0"," Measurement 2",0.4942,1.0964,0.1101,80,33.525,25,NA,NA,NA,NA,NA,NA
"RH&MJ"," BAYSTD1-1-B"," no dye","0"," Measurement 1",0.0612,0.0483,0.1225,0,27.5,11.2,1.17601219718787,1.1798421006268,7.97699148134319,7.77422273399402,7.97851907419323,7.77575032684406
"RH&MJ"," BAYSTD1-1-B"," m-cresol added","0"," Measurement 2",0.6434,0.7344,0.1144,80,27.5,11.2,NA,NA,NA,NA,NA,NA
"RH&MJ"," BAYSTD1-2-D"," no dye","Sample was murky with sediment"," Measurement 1",0.0822,0.0651,0.1357,0,27.5,11.2,1.15735537190083,1.16096587107438,7.96948318717341,7.76671443982424,7.97094495489394,7.76817620754476
"RH&MJ"," BAYSTD1-2-D"," m-cresol added","Sample was murky with sediment"," Measurement 2",0.6714,0.7495,0.1199,80,27.5,11.2,NA,NA,NA,NA,NA,NA
"RH&MJ"," BAYSTD1-3-E"," no dye","Sample was murky with sediment"," Measurement 1",0.0913,0.0716,0.1406,0,27.5,11.2,1.15851010522799,1.16213418406548,7.96995116065462,7.76718241330544,7.97141705834134,7.76864831099217
"RH&MJ"," BAYSTD1-3-E"," m-cresol added","Sample was murky with sediment"," Measurement 2",0.6702,0.7454,0.1208,80,27.5,11.2,NA,NA,NA,NA,NA,NA
"RH&MJ"," BAYSTD2-1-C"," no dye","0"," Measurement 1",0.0841,0.0588,0.127,0,30.34,14.11,1.35378998609179,1.35971055632823,7.99310083514162,7.83471078801667,7.99517335516697,7.83678330804203
"RH&MJ"," BAYSTD2-1-C"," m-cresol added","0"," Measurement 2",0.6546,0.8328,0.1223,80,30.34,14.11,NA,NA,NA,NA,NA,NA
"RH&MJ"," BAYSTD2-2-G"," no dye","0"," Measurement 1",0.0841,0.0587,0.1268,0,30.34,14.11,1.35805991440799,1.36403069900143,7.99459637407735,7.83620632695241,7.9966804261305,7.83829037900555
"RH&MJ"," BAYSTD2-2-G"," m-cresol added","0"," Measurement 2",0.6405,0.8159,0.1224,80,30.34,14.11,NA,NA,NA,NA,NA,NA
"RH&MJ"," BAYSTD2-3-4"," no dye","0"," Measurement 1",0.0852,0.059,0.1272,0,30.34,14.11,1.35597275906497,1.36191899871158,7.99386588899697,7.83547584187203,7.99594431204087,7.83755426491592
"RH&MJ"," BAYSTD2-3-4"," m-cresol added","0"," Measurement 2",0.6239,0.7911,0.1226,80,30.34,14.11,NA,NA,NA,NA,NA,NA
