Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm
ctettelbach, Blank, no dye, 0.0000, Blank, 0.0001, 0.0001, -0.0000
ctettelbach, BaySTD2, no dye, 0.0000, Measurement 1, 0.0595, 0.0427, 0.1156
ctettelbach, T21-708-1, no dye, 0.0000, Measurement 1, 0.0553, 0.0405, 0.1144
ctettelbach, T21-708-2, no dye, 0.0000, Measurement 1, 0.0567, 0.0418, 0.1156
ctettelbach, T8-714-1, no dye, 0.0000, Measurement 1, 0.0504, 0.0396, 0.1145
ctettelbach, T8-714-2, no dye, 0.0000, Measurement 1, 0.0506, 0.0398, 0.1143
ctettelbach, T14-714-1, no dye, 0.0000, Measurement 1, 0.0511, 0.0398, 0.1145
ctettelbach, T14-714-2, no dye, 0.0000, Measurement 1, 0.0511, 0.0401, 0.1147
ctettelbach, T38-714-1, no dye, 0.0000, Measurement 1, 0.0541, 0.0417, 0.1155
ctettelbach, T38-714-2, no dye, 0.0000, Measurement 1, 0.0518, 0.0399, 0.1145
ctettelbach, BaySTD2, m-cresol added, 0.0000, Measurement 2, 0.6351, 0.8251, 0.1177
ctettelbach, T21-708-1, m-cresol added, 0.0000, Measurement 2, 0.6627, 0.7345, 0.1159
ctettelbach, T21-708-2, m-cresol added, 0.0000, Measurement 2, 0.6681, 0.7191, 0.1172
ctettelbach, T8-714-1, m-cresol added, 0.0000, Measurement 2, 0.6024, 0.9060, 0.1156
ctettelbach, T8-714-2, m-cresol added, 0.0000, Measurement 2, 0.5965, 0.8840, 0.1157
ctettelbach, T14-714-1, m-cresol added, 0.0000, Measurement 2, 0.6444, 0.7425, 0.1158
ctettelbach, T14-714-2, m-cresol added, 0.0000, Measurement 2, 0.6432, 0.7346, 0.1157
ctettelbach, T38-714-1, m-cresol added, 0.0000, Measurement 2, 0.5669, 0.9298, 0.1159
ctettelbach, T38-714-2, m-cresol added, 0.0000, Measurement 2, 0.5644, 0.9310, 0.1154
