Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm,dyeV,salinity,temperature
ctettelbach, Blank, no dye,0, Blank,-0.0005,0,0,0,NA,NA
ctettelbach, BaySTD2, no dye,0, Measurement 1,0.0613,0.0437,0.1171,0,30.34,14.11
ctettelbach, BaySTD2, m-cresol added,0, Measurement 2,0.631,0.806,0.1173,80,30.34,14.11
ctettelbach, T16-719-1, no dye,0, Measurement 1,0.0515,0.0397,0.1152,0,27.34,16
ctettelbach, T16-719-1, m-cresol added,0, Measurement 2,0.657,0.7166,0.1148,80,27.34,16
ctettelbach, T16-719-2, no dye,0, Measurement 1,0.0512,0.0398,0.1151,0,27.33,16
ctettelbach, T16-719-2, m-cresol added,0, Measurement 2,0.6571,0.7149,0.1145,80,27.33,16
ctettelbach, T12-708-1, no dye,0, Measurement 1,0.0563,0.042,0.1168,0,27.24,16.81
ctettelbach, T12-708-1, m-cresol added,0, Measurement 2,0.5006,1.1481,0.1159,80,27.24,16.81
ctettelbach, T12-708-2, no dye,0, Measurement 1,0.0564,0.0423,0.1167,0,27.23,16.81
ctettelbach, T12-708-2, m-cresol added,0, Measurement 2,0.492,1.1311,0.1154,80,27.23,16.81
ctettelbach, T6-708-1, no dye,0, Measurement 1,0.0624,0.0466,0.12,0,25.14,18.5
ctettelbach, T6-708-1, m-cresol added,0, Measurement 2,0.5487,1.0013,0.1176,80,25.14,18.5
ctettelbach, T6-708-2, no dye,0, Measurement 1,0.0614,0.0458,0.1195,0,25.13,18.5
ctettelbach, T6-708-2, m-cresol added,0, Measurement 2,0.5517,0.9929,0.1171,80,25.13,18.5
ctettelbach, T20-708-1, no dye,0, Measurement 1,0.0602,0.0446,0.1183,0,25.21,18.56
ctettelbach, T20-708-1, m-cresol added,0, Measurement 2,0.6259,0.8053,0.1167,80,25.21,18.56
ctettelbach, T20-708-2, no dye,0, Measurement 1,0.0618,0.0457,0.1194,0,25.2,18.56
ctettelbach, T20-708-2, m-cresol added,0, Measurement 2,0.6214,0.8037,0.1169,80,25.2,18.56
